Seq,Stamp,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,C1_Roll,C2_Pitch,C3_Throttle
198,17:34.2,179654476,45.08,-5.59,61.29,-12.06,22.5555982,88.3082726,1500,1500,987
423,17:34.2,179697878,42.66,-4.62,60.23,-12.07,22.555598,88.3082745,1500,1500,987
649,17:34.3,179733964,40.29,-3.7,59.38,-12.07,22.555598,88.3082745,1500,1500,987
879,17:34.3,179774486,37.83,-2.72,58.68,-12.07,22.555598,88.3082745,1500,1500,987
1109,17:34.4,179841066,35.23,-1.15,58.16,-12.07,22.555598,88.3082745,1500,1500,987
1224,17:34.5,179912725,33.88,-1.25,57.6,-11.62,22.5555985,88.3082753,1500,1500,987
1418,17:34.5,179957813,33.02,-2.24,57.9,-11.62,22.5555985,88.3082753,1500,1500,987
1616,17:34.5,179996965,32.33,-4.04,58.42,-11.62,22.5555985,88.3082753,1500,1500,987
1650,17:34.6,180036896,32.13,-6.94,58.61,-11.62,22.5555985,88.3082753,1500,1500,987
1693,17:34.6,180078457,32.97,-9.91,58.09,-11.46,22.5555989,88.3082764,1500,1500,987
1731,17:34.7,180116701,34.14,-12.69,56.88,-11.46,22.5555989,88.3082764,1500,1500,987
1774,17:34.7,180158773,34.79,-14.84,55.53,-11.46,22.5555989,88.3082764,1500,1500,987
1810,17:34.7,180196471,35.72,-16.07,54.23,-11.46,22.5555989,88.3082764,1500,1500,987
1846,17:34.8,180236714,37.11,-16.45,52.84,-11.46,22.5555989,88.3082764,1500,1500,987
1890,17:34.8,180278430,38.63,-16.52,51.42,-11.68,22.5555992,88.3082772,1500,1500,987
1927,17:34.9,180317830,39.68,-16.28,50.31,-11.68,22.5555992,88.3082772,1500,1500,987
1969,17:34.9,180358893,40.64,-16,49.24,-11.68,22.5555992,88.3082772,1500,1500,987
2006,17:34.9,180396802,40.82,-15.75,48.13,-11.68,22.5555992,88.3082772,1500,1500,987
2043,17:35.0,180436687,40.91,-15.22,47.12,-11.68,22.5555992,88.3082772,1500,1500,987
2086,17:35.0,180477945,40.57,-14.34,46.33,-11.78,22.5555999,88.3082779,1500,1500,987
2121,17:35.1,180517410,39.73,-13.11,45.81,-11.78,22.5555999,88.3082779,1500,1500,987
2165,17:35.1,180559081,38.58,-11.56,45.48,-11.78,22.5555999,88.3082779,1500,1500,987
2202,17:35.1,180596718,37.02,-9.93,45.15,-11.78,22.5555999,88.3082779,1500,1500,987
2242,17:35.2,180636831,35.51,-8.24,44.75,-11.78,22.5555999,88.3082779,1500,1500,987
2286,17:35.2,180678767,34.08,-6.65,44.34,-11.59,22.5556006,88.3082775,1500,1500,987
2327,17:35.3,180717930,32.25,-5.28,44,-11.59,22.5556006,88.3082775,1500,1500,987
2369,17:35.3,180759267,30.44,-4.15,43.79,-11.59,22.5556006,88.3082775,1500,1500,987
2404,17:35.3,180796796,28.57,-3.33,43.67,-11.59,22.5556006,88.3082775,1500,1500,987
2441,17:35.4,180837043,26.75,-2.74,43.68,-11.59,22.5556006,88.3082775,1500,1500,987
2485,17:35.4,180878726,24.93,-2.37,43.9,-11.12,22.555601,88.308277,1500,1500,987
2522,17:35.5,180916986,23.05,-2.44,44.3,-11.12,22.555601,88.308277,1500,1500,987
2563,17:35.5,180958937,21.4,-2.73,44.92,-11.12,22.555601,88.308277,1500,1500,987
2601,17:35.5,180996698,19.77,-3.24,45.7,-11.12,22.555601,88.308277,1500,1500,987
2639,17:35.6,181036752,18.21,-3.96,46.69,-11.12,22.555601,88.308277,1500,1500,987
2683,17:35.6,181077924,16.85,-4.67,47.81,-11.05,22.5556009,88.3082772,1500,1500,987
2720,17:35.7,181116906,15.51,-5.4,49,-11.05,22.5556009,88.3082772,1500,1500,987
2764,17:35.7,181158871,14.14,-6.16,50.33,-11.05,22.5556009,88.3082772,1500,1500,987
2802,17:35.7,181196664,12.97,-6.74,51.77,-11.05,22.5556009,88.3082772,1500,1500,987
2840,17:35.8,181236728,11.65,-7.21,53.33,-11.05,22.5556009,88.3082772,1500,1500,987
2883,17:35.8,181278469,10.37,-7.52,54.99,-10.92,22.5556003,88.3082767,1500,1500,987
2919,17:35.9,181317063,9.14,-7.83,56.75,-10.92,22.5556003,88.3082767,1500,1500,987
2962,17:35.9,181358938,7.96,-8.21,58.57,-10.92,22.5556003,88.3082767,1500,1500,987
2999,17:35.9,181396462,6.97,-8.63,60.36,-10.92,22.5556003,88.3082767,1500,1500,987
3037,17:36.0,181436642,5.9,-8.98,62.06,-10.92,22.5556003,88.3082767,1500,1500,987
3080,17:36.0,181478066,4.96,-9.38,63.59,-10.77,22.5555993,88.3082759,1500,1500,987
