Seq,Stamp,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,C1_Roll,C2_Pitch,C3_Throttle,,T_US,Roll,Pitch,Yaw,x,y,z
198,17:34.2,179654476,45.08,-5.59,61.29,-12.06,22.5555982,88.3082726,1500,1500,987,,0,45.08,-5.59,61.29,0,0,0
423,17:34.2,179697878,42.66,-4.62,60.23,-12.07,22.555598,88.3082745,1500,1500,987,,43402,42.66,-4.62,60.23,-2E-07,1.9E-06,-0.01
649,17:34.3,179733964,40.29,-3.7,59.38,-12.07,22.555598,88.3082745,1500,1500,987,,79488,40.29,-3.7,59.38,-2E-07,1.9E-06,-0.01
879,17:34.3,179774486,37.83,-2.72,58.68,-12.07,22.555598,88.3082745,1500,1500,987,,120010,37.83,-2.72,58.68,-2E-07,1.9E-06,-0.01
1109,17:34.4,179841066,35.23,-1.15,58.16,-12.07,22.555598,88.3082745,1500,1500,987,,186590,35.23,-1.15,58.16,-2E-07,1.9E-06,-0.01
1224,17:34.5,179912725,33.88,-1.25,57.6,-11.62,22.5555985,88.3082753,1500,1500,987,,258249,33.88,-1.25,57.6,3E-07,2.7E-06,0.44
1418,17:34.5,179957813,33.02,-2.24,57.9,-11.62,22.5555985,88.3082753,1500,1500,987,,303337,33.02,-2.24,57.9,3E-07,2.7E-06,0.44
1616,17:34.5,179996965,32.33,-4.04,58.42,-11.62,22.5555985,88.3082753,1500,1500,987,,342489,32.33,-4.04,58.42,3E-07,2.7E-06,0.44
1650,17:34.6,180036896,32.13,-6.94,58.61,-11.62,22.5555985,88.3082753,1500,1500,987,,382420,32.13,-6.94,58.61,3E-07,2.7E-06,0.44
1693,17:34.6,180078457,32.97,-9.91,58.09,-11.46,22.5555989,88.3082764,1500,1500,987,,423981,32.97,-9.91,58.09,7E-07,3.8E-06,0.6
1731,17:34.7,180116701,34.14,-12.69,56.88,-11.46,22.5555989,88.3082764,1500,1500,987,,462225,34.14,-12.69,56.88,7E-07,3.8E-06,0.6
1774,17:34.7,180158773,34.79,-14.84,55.53,-11.46,22.5555989,88.3082764,1500,1500,987,,504297,34.79,-14.84,55.53,7E-07,3.8E-06,0.6
1810,17:34.7,180196471,35.72,-16.07,54.23,-11.46,22.5555989,88.3082764,1500,1500,987,,541995,35.72,-16.07,54.23,7E-07,3.8E-06,0.6
1846,17:34.8,180236714,37.11,-16.45,52.84,-11.46,22.5555989,88.3082764,1500,1500,987,,582238,37.11,-16.45,52.84,7E-07,3.8E-06,0.6
1890,17:34.8,180278430,38.63,-16.52,51.42,-11.68,22.5555992,88.3082772,1500,1500,987,,623954,38.63,-16.52,51.42,1E-06,4.6E-06,0.38
1927,17:34.9,180317830,39.68,-16.28,50.31,-11.68,22.5555992,88.3082772,1500,1500,987,,663354,39.68,-16.28,50.31,1E-06,4.6E-06,0.38
1969,17:34.9,180358893,40.64,-16,49.24,-11.68,22.5555992,88.3082772,1500,1500,987,,704417,40.64,-16,49.24,1E-06,4.6E-06,0.38
2006,17:34.9,180396802,40.82,-15.75,48.13,-11.68,22.5555992,88.3082772,1500,1500,987,,742326,40.82,-15.75,48.13,1E-06,4.6E-06,0.38
